number,zip_file,bill_file,act_file,bill_url,act_url,status
25,AMENDMENT_25_20041972.zip,MISSING,AMENDMENT_25_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030251-2.pdf,MISSING_BILL
26,AMENDMENT_26_28121971.zip,MISSING,AMENDMENT_26_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/20231019850001859.pdf,MISSING_BILL
27,AMENDMENT_27_15021972.zip,MISSING,AMENDMENT_27_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030285.pdf,MISSING_BILL
28,AMENDMENT_28_29081972.zip,MISSING,AMENDMENT_28_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030233.pdf,MISSING_BILL
29,AMENDMENT_29_09061972.zip,MISSING,AMENDMENT_29_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030227.pdf,MISSING_BILL
30,AMENDMENT_30_27021973.zip,MISSING,AMENDMENT_30_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030255-1.pdf,MISSING_BILL
31,AMENDMENT_31_17101973.zip,MISSING,AMENDMENT_31_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030259-1.pdf,MISSING_BILL
32,AMENDMENT_32_01071974.zip,MISSING,AMENDMENT_32_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030213.pdf,MISSING_BILL
33,AMENDMENT_33_19051974.zip,MISSING,AMENDMENT_33_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030224-1.pdf,MISSING_BILL
34,AMENDMENT_34_07091974.zip,MISSING,AMENDMENT_34_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030277.pdf,MISSING_BILL
35,AMENDMENT_35_01031975.zip,MISSING,AMENDMENT_35_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030275.pdf,MISSING_BILL
36,AMENDMENT_36_26041975.zip,MISSING,AMENDMENT_36_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030232-2.pdf,MISSING_BILL
37,AMENDMENT_37_03051975.zip,MISSING,AMENDMENT_37_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030251-1.pdf,MISSING_BILL
